"","Timestamp","¿Usted.es.o.ha.sido.usuario.de.Tinder?","Indique.su.genero","¿Su.edad.es?","¿Con.que.grupo.étnico.se.identifica?","5.¿Como.usuario.de.Tinder.usted.busca.establecer.contacto.con?","3..¿Con.qué.finalidad.ha.buscado.hacer.match.en.Tinder?","Agerank","Match.con","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.1","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.2","8..Califique.de.1.a.5.las.siguientes.imágenes.donde.5.es.la.calificación.más.alta.y.1.la.calificación.más.baja.3","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..1","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..2","Escoja.3.opciones.,.ordenándolas.de.tal.manera.que.1.sea.la.más.importante.y.3.la.menos.importante..3","¿Cuál.es.tu.nivel.educativo?(finalizado.o.en.curso)","Barrio","¿Cuál.es.tu.estado.civil?","eleccion1","eleccion2","eleccion3","gusto","gusto1","gusto2","gusto3","gusto4","finalidad","finalidadsexo","genero","educacion","edad"
"33",42870.5180765162,"Sí","Masculino",44,"Mestizo","Mujeres","Buscar un encuentro sexual","Mas de 35 años","Sandra",5,5,4,4,"Contexto(fondo/escenario de la foto)"," Cuerpo","Lugar de trabajo","Especialización/maestria/doctorado","Pance","Soltero","Contexto(fondo/escenario de la foto)"," Cuerpo","Lugar de trabajo",0,0,1,0,1,1,1,"Masculino","Especialización/maestria/doctorado",44
"34",42870.5363854398,"Sí","Masculino",41,"Blanco","Mujeres","Buscar pareja estable","Mas de 35 años","Marisol",5,4,4,5,"Contexto(fondo/escenario de la foto)"," Cara","Institucion educativa","Universitario profesional","Las americas","Soltero","Contexto(fondo/escenario de la foto)"," Cara","Institucion educativa",0,0,1,0,1,0,0,"Masculino","Universitario profesional",41
"35",42870.6163050116,"Sí","Femenino",39,"Blanco","Hombres","Buscar un encuentro sexual","Mas de 35 años","Jaime",5,5,5,5," Cuerpo"," Cara","Contexto(fondo/escenario de la foto)","Universitario profesional","La base","Soltero"," Cuerpo"," Cara","Contexto(fondo/escenario de la foto)",1,1,1,1,1,1,1,"Femenino","Universitario profesional",39
"36",42870.624098206,"Sí","Femenino",40,"Blanco","Hombres","Buscar un encuentro sexual","Mas de 35 años","Jaime",5,4,4,4," Cara","Lugar de trabajo","Contexto(fondo/escenario de la foto)","Universitario profesional","san nicolas","Soltero"," Cara","Lugar de trabajo","Contexto(fondo/escenario de la foto)",1,1,1,1,2,1,1,"Femenino","Universitario profesional",40
"37",42870.7699996759,"Sí","Femenino",37,"Mestizo","Hombres","Buscar pareja estable","Mas de 35 años","Alvaro",3,3,4,4,"Descripcion personal","Contexto(fondo/escenario de la foto)"," Cara","Especialización/maestria/doctorado","Salomia","Union libre","Descripcion personal","Contexto(fondo/escenario de la foto)"," Cara",0,0,0,0,0,0,0,"Femenino","Especialización/maestria/doctorado",37
"38",42870.7709944213,"Sí","Masculino",50,"Afro/negro","Mujeres","Buscar pareja estable","Mas de 35 años","Marisol",2,2,2,5,"Contexto(fondo/escenario de la foto)","Vestuario"," Cara","Especialización/maestria/doctorado","capri","Union libre","Contexto(fondo/escenario de la foto)","Vestuario"," Cara",0,0,0,0,0,0,0,"Masculino","Especialización/maestria/doctorado",50
"39",42870.7734815857,"Sí","Femenino",46,"Mestizo","Hombres","Hacer amigos","Mas de 35 años","Jaime",3,3,3,4,"Conexiones en comun"," Cara","Contexto(fondo/escenario de la foto)","Especialización/maestria/doctorado","ciudad jardin","Union libre","Conexiones en comun"," Cara","Contexto(fondo/escenario de la foto)",0,0,1,2,1,0,0,"Femenino","Especialización/maestria/doctorado",46
"40",42870.7742154861,"Sí","Masculino",54,"Mestizo","Mujeres","Hacer amigos","Mas de 35 años","Marisol",2,2,2,4," Cara","Contexto(fondo/escenario de la foto)","Conexiones en comun","Especialización/maestria/doctorado","limonar","Union libre"," Cara","Contexto(fondo/escenario de la foto)","Conexiones en comun",1,1,1,1,1,0,0,"Masculino","Especialización/maestria/doctorado",54
"41",42870.7771114352,"Sí","Femenino",36,"Afro/negro","Hombres","Buscar pareja estable","Mas de 35 años","Jaime",3,3,3,3,"Conexiones en comun"," Cara","Descripcion personal","Especialización/maestria/doctorado","capri","Soltero","Conexiones en comun"," Cara","Descripcion personal",0,0,1,2,1,0,0,"Femenino","Especialización/maestria/doctorado",36
"42",42870.7796834722,"Sí","Femenino",53,"Mestizo","Hombres","Buscar pareja estable","Mas de 35 años","Jaime",3,4,3,5,"Conexiones en comun","Contexto(fondo/escenario de la foto)"," Cara","Especialización/maestria/doctorado","ciudad jardin","Union libre","Conexiones en comun","Contexto(fondo/escenario de la foto)"," Cara",0,0,0,2,2,0,0,"Femenino","Especialización/maestria/doctorado",53
"43",42870.7819446875,"Sí","Masculino",49,"Mestizo","Mujeres","Hacer amigos","Mas de 35 años","Marisol",4,3,3,5," Cara","Conexiones en comun","Contexto(fondo/escenario de la foto)","Universitario profesional","hacienda","Union libre"," Cara","Conexiones en comun","Contexto(fondo/escenario de la foto)",1,1,1,1,2,0,0,"Masculino","Universitario profesional",49
"44",42870.7846203472,"Sí","Femenino",43,"Afro/negro","Hombres","Hacer amigos","Mas de 35 años","Alvaro",3,4,4,4," Cuerpo"," Cara","Conexiones en comun","Especialización/maestria/doctorado","primero de mayo","Union libre"," Cuerpo"," Cara","Conexiones en comun",1,1,1,1,1,0,0,"Femenino","Especialización/maestria/doctorado",43
"45",42870.785292419,"Sí","Masculino",43,"Mestizo","Mujeres","Buscar pareja estable","Mas de 35 años","Marisol",2,2,3,4," Pose","Contexto(fondo/escenario de la foto)"," Edad","Universitario profesional","bochalema","Union libre"," Pose","Contexto(fondo/escenario de la foto)"," Edad",0,0,0,0,0,0,0,"Masculino","Universitario profesional",43
"46",42870.8615347338,"Sí","Femenino",47,"Mestizo","Hombres","Crear grupo y salir","Mas de 35 años","Jaime",3,3,3,3," Edad","Lugar de trabajo","Institucion educativa","Universitario profesional","Troncal","Soltero"," Edad","Lugar de trabajo","Institucion educativa",0,1,0,1,2,0,0,"Femenino","Universitario profesional",47
"47",42870.9087898843,"Sí","Masculino",47,"Mestizo","Mujeres","Buscar un encuentro sexual","Mas de 35 años","Marisol",5,5,5,5," Cuerpo","Contexto(fondo/escenario de la foto)","Lugar de trabajo","Universitario profesional","valle del lili","Union libre"," Cuerpo","Contexto(fondo/escenario de la foto)","Lugar de trabajo",1,1,1,1,1,1,1,"Masculino","Universitario profesional",47
"48",42870.9163401736,"Sí","Femenino",60,"Blanco","Ambos","Hacer amigos","Mas de 35 años","Marisol",3,4,3,4,"Gustos musicales","Lugar de trabajo","Vestuario","Secundaria","N/A","Casado","Gustos musicales","Lugar de trabajo","Vestuario",0,0,0,0,2,0,0,"Femenino","Secundaria",60
"49",42871.5561468287,"Sí","Masculino",41,"Mestizo","Mujeres","Buscar un encuentro sexual","Mas de 35 años","Sandra",5,5,5,5,"Contexto(fondo/escenario de la foto)"," Cara","Lugar de trabajo","Universitario profesional","Valle del lili","Soltero","Contexto(fondo/escenario de la foto)"," Cara","Lugar de trabajo",0,0,1,0,1,1,1,"Masculino","Universitario profesional",41
